"מַפָּה","שם המאה ה-16","מחוז/מחוז","שם מודרני","שם במילון ההיסטורי והגיאוגרפי","אופי היישוב","סוג הבעלות"
"","Wądołki-Suchodół+","ostrołęcki/mazowieckie","","","wieś","s"
"","Brudzów","chęciński/sandomierskie","","","wieś","s"
"","Krzelczyce","chęciński/sandomierskie","Skrzelczyce","","wieś","s"
"","Górki","chęciński/sandomierskie","","","wieś","s"
"","Bród","chęciński/sandomierskie","Brody","","wieś","s"
"","Maleszowa","chęciński/sandomierskie","","","wieś","s"
"","Marzysz","chęciński/sandomierskie","","","wieś","d"
"","Radomice","chęciński/sandomierskie","","","wieś","d"
"","Wola Łabęcka","chęciński/sandomierskie","Łabędziów","","wieś","d"
"","Osiny","gąbiński/rawskie","","","wieś","s"
"","Brodne","gąbiński/rawskie","","","wieś","s"
"","Rostki-Suchodół","ostrołęcki/mazowieckie","Rostki","","wieś","s"
"","Kiernozia","gąbiński/rawskie","","","miasto","s"
