id_miejscowosci,nazwa_wspolczesna,nazwa_16w,charakter_osady,rodzaj_wlasnosci,powiat_p,woj_p,wielkosc_karto,lat,lon
Wyszemierze_Stara_Wies_osw_maz,Wyszomierz Wielki,Wyszemierze-Stara Wieś,wieś,s,ostrowski,mazowieckie,duża,52.8838379270001724,22.057622882000004
Wola_Chojnacka_chj_bla_raw,Turowa Wola,Wola Chojnacka,wieś,s,bialski,rawskie,mała,51.8793051630000974,20.4811744060000258
Kopanina_bkj_bkj,Chrusty,Kopanina,osada folwarczna,s,brzeski kujawski,brzeskie kujawskie,,52.8676202398233528,18.6187002510647268
Chwalecice_kls_kls,Chwalęcice,Chwalęcice,wieś,s,kaliski,kaliskie,mała,51.7405734556857411,18.4534402960186341
Chyczewo_rac_plc,Chyczewo,Chyczewo,wieś,s,raciąski,płockie,mała,52.7351453877496326,20.0880356717090756
Chwalka_nkl_kls,Chwałka,Chwałka ,osada młyńska,s,nakielski,kaliskie,,53.2388031639013874,17.6343799671568071
Luszczewo_Mniejsze_sch_raw,Łuszczewek Stary,Łuszczewo Mniejsze,wieś,s,sochaczewski,rawskie,mała,52.2257047880000513,20.5292036960000921
Chorzepowo_pzn_pzn,Chorzępowo,Chorzępowo,wieś,s,poznański,poznańskie,mała,52.638670170828,15.9965094763135536
Chyzyny_gar_maz,,Chyżyny,wieś,k,garwoliński,mazowieckie,mała,52.0157066980001304,21.7293015690002633
Czachcino_plc_plc,Ciachcin,Czachcino,wieś,ds,płocki,płockie,mała,52.6212883847512956,19.7898136319936739
Ciegowice_llw_krk,Ciągowice,Cięgowice,wieś,s,lelowski,krakowskie,mała,50.450199431999998,19.3625654450000475
Cibory_Kolaki_zmb_maz,Cibory-Kołaczki,Cibory-Kołaki,wieś,s,zambrowski,mazowieckie,mała,53.1100224880004106,22.580745806999122
Brzoza_pzn_pzn,Brzoza,Brzoza,wieś,s,poznański,poznańskie,mała,52.3970018514411535,16.5625353329971077
Mlodzianowo_mak_maz,,Młodzianowo,wieś,s,makowski,mazowieckie,mała,52.9086877790000898,21.062193398000101
Wrzodowa_Gora_prs_krk,Górka Kościelnicka,Wrzodowa Góra,wieś,s,proszowicki,krakowskie,mała,50.1055424570000412,20.171308734999986
