id,name,type,relig_type,relig,source,dist,lp_w,lp_o,cdnts
13440,Frombork,miasto,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 409.",war,1,21610,"[19.69787161771586, 54.35629722398187]"
13441,Chruściel,wieś,świątynia pomocnicza,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 410.",war,1,21679,"[19.81817676653361, 54.26010367578391]"
14209,Rakowa,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 304; Kołbuk 1998, s. 243.",rus,6,4066,"[22.399365172169382, 49.54744049219909]"
14210,Siemuszowa,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 327; Kołbuk 1998, s. 243.",rus,6,4133,"[22.314445657131046, 49.59378364454858]"
14214,Besko,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 77; Kołbuk 1998, s. 261.",rus,6,3353,"[21.96941231325826, 49.58830219674036]"
14216,Wróblik Szlachecki,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 398; Kołbuk 1998, s. 262.",rus,6,3710,"[21.861541577526054, 49.608733048561305]"
14223,Zubeńsko,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 415; Kołbuk 1998, s. 251 (wieś obecnie nie istnieje).",rus,6,5971,"[22.09371270198983, 49.23147199614823]"
14225,Dobra,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 122; Kołbuk 1998, s. 242 (Dobra Szlachecka, do 1949 Dobra podzielona na Dobra Szlachecka i Dobra Rustykalna)",rus,6,6074,"[22.300674925254327, 49.64411330439498]"
14226,Krzywe,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 208; Kołbuk 1998, s. 242.",rus,6,3740,"[22.190509067542678, 49.65607282778501]"
14228,Jabłonica Ruska,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 169; Kołbuk 1998, s. 242.",rus,6,3614,"[22.207339962957974, 49.70042272638602]"
14229,Krzemienna,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 207; Kołbuk 1998, s. 242.",rus,6,3737,"[22.18744890490342, 49.70092103982313]"
14230,Obarzym,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 267; Kołbuk 1998, s. 243.",rus,6,3945,"[22.170618010387443, 49.71537213039875]"
14244,Prełuki,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 294; Kołbuk 1998, s. 250.",rus,6,5930,"[22.09983103077343, 49.33739076420767]"
14245,Dołżyca,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 126; Kołbuk 1998, s. 250.",rus,6,3499,"[22.01961917607747, 49.325069527202174]"
14246,Mików,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 244; Kołbuk 1998, s. 250.",rus,6,5919,"[22.139740497177172, 49.28521745373172]"
14247,Szczawne,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 349; Kołbuk 1998, s. 251.",rus,6,5972,"[22.129468440958533, 49.39354928266022]"
14248,Polany Surowiczne,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 288; Kołbuk 1998, s. 249 (obecnie miejscowość nie istnieje).",rus,6,4018,"[21.87816790056206, 49.45413174603925]"
14532,Sitaniec,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 366.",rus,1,2966,"[23.24184053439052, 50.75787301754394]"
14536,Zamość,miasto,świątynia pomocnicza,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 529.",rus,1,24102,"[23.26491816019154, 50.729604472614255]"
