id,index,viv.x,powiat,name,oname,rid,pow,grcode,code,geom,town,viv.y,jg_geom
mordy_dro_pdl,40204,podl,drohicki,mordy,Mordy,2309,dro,podl_dro,mordy_podl_dro,"[2506068.95041411, 6838623.188175015]","Mordy, Poland",Lublin,"{'lat': '52.216666666667', 'long': '22.516666666667'}"
sokolow_dro_pdl,40205,podl,drohicki,sokolow_podlaski,Sokołów,2320,dro,podl_dro,sokolow_podlaski_podl_dro,"[2478882.2792211967, 6874505.62084527]",,,
"",40206,podl,drohicki,sterdyn,Sterdyń_villages,9305,dro,podl_dro,sterdyn_podl_dro,"[2482738.152074351, 6904953.591890303]",,,
wegrow_dro_pdl,40207,podl,drohicki,wegrow,Węgrów,2325,dro,podl_dro,wegrow_podl_dro,"[2451567.5516757285, 6872118.501549028]","Węgrów, Poland",Lublin,"{'lat': '52.4', 'long': '22.016666666667'}"
belz_blb_bel,50101,bel,belski,belz,Bełz,2671,bel,bel_bel,belz_bel_bel,"[2672096.0720156515, 6512628.909086242]","Belz, Ukraine",Lwów,"{'lat': '50.383333333333', 'long': '24.016666666667'}"
busk_bug_bel,50102,bel,buski,busk,Busk,6392,bus,bel_bus,busk_bel_bus,"[2741965.7315387884, 6439163.81684232]","Busko-Zdrój, Poland",Kielce,"{'lat': '50.466666666667', 'long': '20.716666666667'}"
cieszanow_blb_bel,50103,bel,belski,cieszanow,Cieszanów,2084,bel,bel_bel,cieszanow_bel_bel,"[2576127.2756388783, 6488460.680748145]","Cieszanów, Poland",Lwów,"{'lat': '50.233333333333', 'long': '23.133333333333'}"
cholojow_bug_bel,50104,bel,buski,dobrotwor,Chołojów,6367,bus,bel_bus,dobrotwor_bel_bus,"[2732632.3387812423, 6485564.907218505]",,,
dubienka_bug_bel,50105,bel,grabowiecki,dubienka,Dubienka,6364,gra,bel_gra,dubienka_bel_gra,"[2659125.4663836593, 6630730.2784649]","Dubienka, Poland",Lublin,"{'lat': '51.05', 'long': '23.883333333333'}"
grabowiec_bug_bel,50106,bel,grabowiecki,grabowiec,Grabowiec,4600,gra,bel_gra,grabowiec_bel_gra,"[2622105.4214299493, 6591138.587033117]","Grabowiec, Poland",Lublin,"{'lat': '50.833333333333', 'long': '23.566666666667'}"
horodlo_bug_bel,50107,bel,grabowiecki,horodlo,Horodło,6369,gra,bel_gra,horodlo_bel_gra,"[2676551.7058706866, 6600933.409560783]","Horodło, Poland",Lublin,"{'lat': '50.883333333333', 'long': '24.033333333333'}"
jaryczow_blb_bel,50108,bel,belski,jaroczew,Jarczów,6365,bel,bel_bel,jaroczew_bel_bel,"[2626322.2381413635, 6520111.832732089]",,,
komarow_bug_bel,50109,bel,grabowiecki,komorow,Komarów,5245,gra,bel_gra,komorow_bel_gra,"[2613392.0468511633, 6554977.125601953]",,,
korytnica_bug_bel,50110,bel,grabowiecki,korytnica,Korytnica,5267,gra,bel_gra,korytnica_bel_gra,"[2672473.668115242, 6612305.640896855]",,,
krystynopol_blb_bel,50111,bel,belski,krystynpol,Krystynopol,6373,bel,bel_bel,krystynpol_bel_bel,"[2697057.169892656, 6514145.2927461555]",,,
izbica_brz,50112,bel,belski,libicza,libicza,,bel,bel_bel,libicza_bel_bel,,,,
lipsko_blb_bel,50113,bel,belski,lipsko,Lipsko,22410,bel,bel_bel,lipsko_bel_bel,"[2599150.4071613145, 6506789.010819176]",,,
lubaczow_blb_bel,50114,bel,belski,lubaczow,Lubaczów,2086,bel,bel_bel,lubaczow_bel_bel,"[2574267.753754399, 6473953.956897392]","Lubaczów, Poland",Lwów,"{'lat': '50.166666666667', 'long': '23.133333333333'}"
lubella_blb_bel,50115,bel,belski,lubela,Lubella,5339,bel,bel_bel,lubela_bel_bel,"[2667036.720429385, 6481649.785541992]",,,
mosty_blb_bel,50116,bel,belski,mosty_krolewkie,mosty_krolewkie,,bel,bel_bel,mosty_krolewkie_bel_bel,,,,
mosty_szlacheckie_blb_bel,50117,bel,belski,mosty_szlacheckie,mosty_szlacheckie,,bel,bel_bel,mosty_szlacheckie_bel_bel,,,,
narol_blb_bel,50118,bel,belski,narol,Narol,6378,bel,bel_bel,narol_bel_bel,"[2595385.299014622, 6507395.395671526]","Narol, Poland",Lwów,"{'lat': '50.35', 'long': '23.316666666667'}"
niemirow_blb_bel,50119,bel,belski,niemierow,Niemirów,6380,bel,bel_bel,niemierow_bel_bel,"[2608155.571283628, 6465367.802189959]",,,
oleszyce_blb_bel,50120,bel,belski,oleszczyce,Oleszyce,2088,bel,bel_bel,oleszczyce_bel_bel,"[2563014.5145711214, 6474057.584394217]",,,
potok_blb_bel,50121,bel,belski,potok,Potok,6385,bel,bel_bel,potok_bel_bel,"[2620386.50401875, 6500063.546539294]","Zolotyy Potik, Ukraine",Tarnopol,"{'lat': '48.916666666667', 'long': '25.35'}"
potylicz_blb_bel,50122,bel,belski,potylicz,Potylicz,6515,bel,bel_bel,potylicz_bel_bel,"[2622651.9693625057, 6483900.12843487]","Potelych, Ukraine",Lwów,"{'lat': '50.233333333333', 'long': '23.566666666667'}"
przewały,50123,rus,chelmski,przewale,Przewały,4493,che,rus_che,przewale_rus_che,"[2710848.222673424, 6643930.024723458]",,,
Rachanie_blb_bel,50124,bel,belski,rachanie,Rachanie,6431,bel,bel_bel,rachanie_bel_bel,"[2620890.8704019743, 6540023.693679641]",,,
radziechow_bug_bel,50125,bel,buski,radziechow,Radziechów,6379,bus,bel_bus,radziechow_bel_bus,"[2744116.2529378952, 6494458.473772065]","Radekhiv, Ukraine",Tarnopol,"{'lat': '50.283333333333', 'long': '24.65'}"
rawa_blb_bel,50126,bel,belski,rawa_ruska,Rawa Ruska,6382,bel,bel_bel,rawa_ruska_bel_bel,"[2629514.182660585, 6486258.759502788]",,,
sokal_blb_bel,50127,bel,belski,sokal,Sokal,6384,bel,bel_bel,sokal_bel_bel,"[2703922.553439667, 6531691.017761936]","Sokal, Ukraine",Lwów,"{'lat': '50.483333333333', 'long': '24.283333333333'}"
stojanow_blb_bel,50128,bel,belski,stojanow,Stojanów,6386,bel,bel_bel,stojanow_bel_bel,"[2744303.4906409616, 6511151.874618375]","Stoyaniv, Ukraine",Tarnopol,"{'lat': '50.366666666667', 'long': '24.65'}"
szczurowice_bug_bel,50129,bel,buski,szczurowice,Szczurowice,22412,bus,bel_bus,szczurowice_bel_bus,"[2784684.046515387, 6492758.547456137]","Shchurovychi, Ukraine",Tarnopol,"{'lat': '50.266666666667', 'long': '25.033333333333'}"
tartakow_blb_bel,50130,bel,belski,tartakow,Tartaków,22414,bel,bel_bel,tartakow_bel_bel,"[2715905.768137828, 6525755.024016172]","Tartakiv, Ukraine",Lwów,"{'lat': '50.466666666667', 'long': '24.4'}"
toporow_lwo_rus,50131,rus,lwowski,toporow,Toporów,2673,lwo,rus_lwo,toporow_rus_lwo,"[2754289.502972865, 6465945.717941188]","Toporiv, Ukraine",Tarnopol,"{'lat': '50.116666666667', 'long': '24.716666666667'}"
tyszowce_bug_bel,50132,bel,grabowiecki,tyszowce,Tyszowce,6389,gra,bel_gra,tyszowce_bel_gra,"[2638926.9529772573, 6554830.890719498]","Tyszowce, Poland",Lublin,"{'lat': '50.616666666667', 'long': '23.7'}"
uhnow_blb_bel,50133,bel,belski,uhnow,Uhnów,6391,bel,bel_bel,uhnow_bel_bel,"[2644938.980535722, 6509275.4712446295]","Uhniv, Ukraine",Lwów,"{'lat': '50.366666666667', 'long': '23.75'}"
warez_blb_bel,50134,bel,belski,warez,Waręż,6394,bel,bel_bel,warez_bel_bel,"[2681266.7879647976, 6535504.798763981]","Varyazh, Ukraine",Lwów,"{'lat': '50.516666666667', 'long': '24.1'}"
witkow_bug_bel,50135,bel,buski,witkow,Witków Nowy,6395,bus,bel_bus,witkow_bel_bus,"[2726016.6056051073, 6499313.532718875]","Witkowo, Poland",Poznań,"{'lat': '52.45', 'long': '17.8'}"
biłgoraj,50201,lub,"",bilgoraj,Biłgoraj,6399,"",lub_,bilgoraj_lub_,"[2526753.41431658, 6541336.813016815]","Biłgoraj, Poland",Lublin,"{'lat': '50.55', 'long': '22.7'}"
Chełm_chl_rus,50202,rus,chelmski,chelm,Chełm,2675,che,rus_che,chelm_rus_che,"[2613202.6725561814, 6644891.76249944]","Chełm, Poland",Lublin,"{'lat': '51.133333333333', 'long': '23.5'}"
gorzków_chl_rus,50203,rus,chelmski,gorzkow,Gorzków,2768,che,rus_che,gorzkow_rus_che,"[2563043.418127177, 6611491.137559402]","Gorzków, Poland",Lublin,"{'lat': '50.95', 'long': '23.016666666667'}"
holeszów_chl_rus,50204,rus,chelmski,holeszow,Holeszów,5266,che,rus_che,holeszow_rus_che,"[2701627.623282307, 6327542.773100986]",,,
hrubieszów_chl_rus,50205,rus,chelmski,hrubieszow,Hrubieszów,2608,che,rus_che,hrubieszow_rus_che,"[2660315.073988744, 6586302.416469096]","Hrubieszów, Poland",Lublin,"{'lat': '50.8', 'long': '23.916666666667'}"
Kraśniczyn_chl_rus,50207,rus,chelmski,krasniczyn,Kraśniczyn,2683,che,rus_che,krasniczyn_rus_che,"[2602328.193230874, 6608883.621858531]","Kraśniczyn, Poland",Lublin,"{'lat': '50.933333333333', 'long': '23.366666666667'}"
Kraśniczyn_chl_rus,50208,rus,chelmski,krosniczyn,Kraśniczyn,2683,che,rus_che,krosniczyn_rus_che,"[2602328.193230874, 6608883.621858531]",,,
Kryłów_chl_rus,50209,rus,chelmski,krylow,Kryłów,6372,che,rus_che,krylow_rus_che,"[2677080.3404501597, 6564176.773673683]","Kryłów, Poland",Lublin,"{'lat': '50.683333333333', 'long': '24.066666666667'}"
luboml_chl_rus,50210,rus,chelmski,lubomla,Luboml,2684,che,rus_che,lubomla_rus_che,"[2674967.559299331, 6661971.073165791]",,,
