table.x,index,year,value,potential,villages_value,near_value,name,voivodeship,community,community_code,table_abbr,table.y,geometry.y,geometry
0100,lbl_lbln,1735,970,30,0,1100,lublin,lbl,lublin,lbln,ext,,|,2512670.44114656|6666133.30945296
0100,lbl_lbln,1736,400,30,0,900,lublin,lbl,lublin,lbln,ext,,|,2512670.44114656|6666133.30945296
0100,lbl_lbln,1741,505,30,660,1810,lublin,lbl,lublin,lbln,ext,,|,2512670.44114656|6666133.30945296
0100,lbl_lbln,1742,246,30,0,1730,lublin,lbl,lublin,lbln,ext,,|,2512670.44114656|6666133.30945296
0100,lbl_lbln,1744,620,30,530,2900,lublin,lbl,lublin,lbln,ext,,|,2512670.44114656|6666133.30945296
0100,lbl_lbln,1745,300,30,622,2297,lublin,lbl,lublin,lbln,ext,,|,2512670.44114656|6666133.30945296
0100,lbl_lbln,1746,260,30,292,2210,lublin,lbl,lublin,lbln,ext,,|,2512670.44114656|6666133.30945296
0100,lbl_lbln,1747,160,30,210,3131,lublin,lbl,lublin,lbln,ext,,|,2512670.44114656|6666133.30945296
0100,lbl_lbln,1748,1200,30,398,500,lublin,lbl,lublin,lbln,ext,,|,2512670.44114656|6666133.30945296
0100,lbl_lbln,1749,1518,30,192,1127,lublin,lbl,lublin,lbln,ext,,|,2512670.44114656|6666133.30945296
0100,lbl_lbln,1751,1430,30,186,308,lublin,lbl,lublin,lbln,ext,,|,2512670.44114656|6666133.30945296
0100,lbl_lbln,1752,424,30,470,938,lublin,lbl,lublin,lbln,ext,,|,2512670.44114656|6666133.30945296
0100,lbl_lbln,1753,2332,30,0,0,lublin,lbl,lublin,lbln,ext,,|,2512670.44114656|6666133.30945296
0100,lbl_lbln,1754,960,30,0,0,lublin,lbl,lublin,lbln,ext,,|,2512670.44114656|6666133.30945296
0100,lbl_lbln,1755,236,30,72,2288,lublin,lbl,lublin,lbln,ext,,|,2512670.44114656|6666133.30945296
0100,lbl_lbln,1756,1814,30,0,0,lublin,lbl,lublin,lbln,ext,,|,2512670.44114656|6666133.30945296
0100,lbl_lbln,1758,1107,30,0,0,lublin,lbl,lublin,lbln,ext,,|,2512670.44114656|6666133.30945296
0100,lbl_lbln,1760,1935,30,0,0,lublin,lbl,lublin,lbln,ext,,|,2512670.44114656|6666133.30945296
0100,lbl_lbln,1761,1540,30,0,0,lublin,lbl,lublin,lbln,ext,,|,2512670.44114656|6666133.30945296
0100,lbl_lbln,1762,2051,30,0,0,lublin,lbl,lublin,lbln,ext,,|,2512670.44114656|6666133.30945296
0100,lbl_lbln,1763,423,30,0,0,lublin,lbl,lublin,lbln,ext,,|,2512670.44114656|6666133.30945296
0100,lbl_lbln,1764,30,30,0,620,lublin,lbl,lublin,lbln,ext,,|,2512670.44114656|6666133.30945296
