id,deanery_id,deanery,adeacon_id,adeaconry,diocese_id,diocese,metrop_id,metropoly
96,8854,Miechocin,2833,Sandomierz,2809,Kraków,8341,Gniezno
97,8855,Pyskowice,2836,Opole,2812,Wrocław,8340,Rzym
98,8856,Bełz,9074,Chełm,8350,Chełm,8342,Lwów
99,8859,Rudnik,2833,Sandomierz,2809,Kraków,8341,Gniezno
105,8862,Skoroszyce,2816,Wrocław,2812,Wrocław,8340,Rzym
100,2925,Pacanów,8360,Prepozytura Wiślica,2809,Kraków,8341,Gniezno
101,8857,Paczków,2816,Wrocław,2812,Wrocław,8340,Rzym
102,8858,Nysa,2816,Wrocław,2812,Wrocław,8340,Rzym
103,8860,Strzelce Wielkie,2836,Opole,2812,Wrocław,8340,Rzym
104,8861,Toszek,2836,Opole,2812,Wrocław,8340,Rzym
107,8864,Urzędów,2834,Zawichost,2809,Kraków,8341,Gniezno
131,2847,Olesno,2836,Opole,2812,Wrocław,8340,Rzym
108,8865,Jędrzejów,2838,Kraków,2809,Kraków,8341,Gniezno
109,8866,Otmuchów,2816,Wrocław,2812,Wrocław,8340,Rzym
110,2903,Kurzelów,2814,Kurzelów,2810,Gniezno,8341,Gniezno
111,2850,Kije,8360,Prepozytura Wiślica,2809,Kraków,8341,Gniezno
112,8869,Połaniec,2833,Sandomierz,2809,Kraków,8341,Gniezno
113,8867,Koprzywnica,2833,Sandomierz,2809,Kraków,8341,Gniezno
114,8868,Opole,2836,Opole,2812,Wrocław,8340,Rzym
115,8870,Ziębice,2816,Wrocław,2812,Wrocław,8340,Rzym
117,8872,Zamość,9074,Chełm,8350,Chełm,8342,Lwów
118,8877,Lubliniec,2836,Opole,2812,Wrocław,8340,Rzym
129,8883,Krzepice,8357,Terytorium Wieluń,2810,Gniezno,8341,Gniezno
119,8873,Hrubieszów,9074,Chełm,8350,Chełm,8342,Lwów
120,8874,Ząbkowice Śląskie,2816,Wrocław,2812,Wrocław,8340,Rzym
121,8875,Niemodlin,2836,Opole,2812,Wrocław,8340,Rzym
122,8876,Grabowiec,9074,Chełm,8350,Chełm,8342,Lwów
123,2904,Brzeźnica,2819,Uniejów,2810,Gniezno,8341,Gniezno
124,8881,Siołkowice Stare,2836,Opole,2812,Wrocław,8340,Rzym
125,8878,Zasław,8369,Łuck,2808,Łuck,8342,Lwów
126,8879,Rychbach,2816,Wrocław,2812,Wrocław,8340,Rzym
127,8880,Wiązów,2816,Wrocław,2812,Wrocław,8340,Rzym
128,8882,Świebodzice,2816,Wrocław,2812,Wrocław,8340,Rzym
132,8904,Wleń,8373,Lignica (Legnica),2812,Wrocław,8340,Rzym
133,2869,Zawichost,2834,Zawichost,2809,Kraków,8341,Gniezno
134,8889,Luboml,9074,Chełm,8350,Chełm,8342,Lwów
135,8886,Opatów,2834,Zawichost,2809,Kraków,8341,Gniezno
138,8887,Grodków,2816,Wrocław,2812,Wrocław,8340,Rzym
139,2949,Radom,2821,Dziekania Kielce,2809,Kraków,8341,Gniezno
308,8995,Chełmża,8355,Chełmno,8344,Chełmno,8341,Gniezno
