table,name,viv,index,kalik_id,newname,lon,lat
1100,lancut,rus,rus_lnct,167,"",22.2335999054101,50.0746711669128
1100,dynow,rus,rus_dynw,124,"",22.2387066300105,49.8155331366544
301,zambrow,maz,maz_zmbrw,637,"",22.2438630601394,52.9672827107023
703,rudnik,snd,snd_rdnk,1002,"",22.2505163652582,50.4431765463099
900,ulanow,snd,snd_lnw,1122,"",22.2650551544938,50.4902165091471
803,adamow,snd,snd_dmw,1076,"",22.26666667,51.73333333
402,sokolow_podlaski,pdl,pdl_sklw_pdlsk,686,"",22.2681783895744,52.4094776905297
801,markuszow,lbl,lbl_mrkszw,1041,"",22.272905495957,51.3710193917038
1100,husow,rus,rus_hsw,129,"",22.2833333333333,49.9833333333333
301,szczucin,maz,maz_szczcn,633,"",22.2833333333333,53.5666666666667
803,lysobyki,snd,snd_lysbyk,1106,"",22.2873062038145,51.6042218253958
801,siedlce,lbl,lbl_sdlc,1045,"",22.2915347053797,52.1663468513515
801,belzyce,lbl,lbl_blzyc,1037,"",22.291677484443,51.1745099434198
301,jedwabne,maz,maz_jdwbn,624,"",22.3166532139231,53.2818512690223
1100,jawornik,rus,rus_jwrnk,133,"",22.3166666666667,49.7333333333333
1100,jawornik_ruski,rus,rus_jwrnk_rsk,134,"",22.3166666666667,49.7333333333333
803,wojcieszkow,snd,snd_wjcszkw,1103,"",22.3166666666667,51.7666666666667
502,modliborzyce,lbl,lbl_mdlbrzyc,732,"",22.3306422283973,50.7545039338917
900,modliborzyce,lbl,lbl_mdlbrzyc,1124,"",22.3306422283973,50.7545039338917
401,czyzew,maz,maz_czyzw,661,"",22.3333333333333,52.8
1100,krzeszow,rus,rus_krzszw,137,"",22.3471344669615,50.398190472345
100,jablonka,maz,maz_jblnk,3,"",22.3600769124574,52.9558069811952
100,koscielna_nur,maz,maz_kscln_nr,13,"",22.36666667,52.95
301,wizna,maz,maz_wzn,635,"",22.3817275848938,53.189946972492
302,wiszna,pdl,pdl_wszn,656,"",22.3833333333333,53.2
801,lukow,lbl,lbl_lkw,1035,"",22.3868230230026,51.9345666091139
1100,dubiecko,rus,rus_dbck,122,"",22.3963050095301,49.8205162710256
402,sterdyn,pdl,pdl_strdyn,683,"",22.3,52.58333333
801,janow,lbl,lbl_jnw,1040,"",22.4092552083109,50.7043142975783
1100,polski_kanczuga,rus,rus_plsk_knczg,145,"",22.41666667,49.98333333
1100,lezajsk,rus,rus_lzjsk,139,"",22.4322199159075,50.2482101130387
