table,index,id,community,community_code,land,table_abbr,potential,lon,lat,newname
1201,pod_ktjgrd,197,rus,rs,Rus,rus_brc_kij_pod,0,26.8023486666688,48.6368074298325,""
1201,kij_kchnwk,198,rus,rs,Rus,rus_brc_kij_pod,0,28.7430692832033,49.2789983136466,""
1201,kij_krty,201,rus,rs,Rus,rus_brc_kij_pod,0,29.2105845354031,47.9417938099241,""
1201,kij_kblcz,202,rus,rs,Rus,rus_brc_kij_pod,0,29.5666666666667,48.7166666666667,""
1201,kij_kzmnk,203,rus,rs,Rus,rus_brc_kij_pod,0,29.2833,49.3,Kozhanka
1201,kij_kznc,204,rus,rs,Rus,rus_brc_kij_pod,0,28.7333333333333,48.4333333333333,""
1201,kij_kmjgrd,205,rus,rs,Rus,rus_brc_kij_pod,0,28.6166666666667,48.5333333333333,""
1201,kij_krsn,206,rus,rs,Rus,rus_brc_kij_pod,0,28.4060001247807,48.9102824563786,""
1201,kij_ltyn,207,rus,rs,Rus,rus_brc_kij_pod,0,28.0737794326512,49.3336568160142,""
1201,kij_mrkwk,208,rus,rs,Rus,rus_brc_kij_pod,0,28.6166666666667,49.0833333333333,""
1201,kij_mstkwk,209,rus,rs,Rus,rus_brc_kij_pod,0,28.6984250967567,48.3706534511778,""
1201,kij_mnstrzysk,210,rus,rs,Rus,rus_brc_kij_pod,0,25.16666667,49.08333333,""
1201,kij_mrchw,211,rus,rs,Rus,rus_brc_kij_pod,0,28.21666667,48.78333333,""
1201,kij_nmrw,212,rus,rs,Rus,rus_brc_kij_pod,0,,,""
1201,kij_pczr,214,rus,rs,Rus,rus_brc_kij_pod,0,28.7166666666667,48.85,""
1201,kij_przylk,215,rus,rs,Rus,rus_brc_kij_pod,0,28.7281811365107,49.3883153183818,""
1201,kij_rjgrd,216,rus,rs,Rus,rus_brc_kij_pod,0,22.7,53.73333333,""
1201,kij_rszkw,217,rus,rs,Rus,rus_brc_kij_pod,0,25.4166666666667,48.7333333333333,""
1201,kij_swrn,219,rus,rs,Rus,rus_brc_kij_pod,0,30.0861639352275,48.1423384208255,""
1201,kij_slszcz,220,rus,rs,Rus,rus_brc_kij_pod,0,25.28333333,48.58333333,""
1201,kij_slsz,221,rus,rs,Rus,rus_brc_kij_pod,0,,,""
1201,kij_sklwk,222,rus,rs,Rus,rus_brc_kij_pod,0,30.144764312639,49.0180452276019,""
1201,kij_strzyzwk,223,rus,rs,Rus,rus_brc_kij_pod,0,28.468315310115,49.3014788264923,""
1201,kij_szpkwc,224,rus,rs,Rus,rus_brc_kij_pod,0,,,""
1201,kij_tplc,225,rus,rs,Rus,rus_brc_kij_pod,0,29.75,48.6666666666667,""
1201,kij_trlwk,226,rus,rs,Rus,rus_brc_kij_pod,0,27.5666666666667,49.35,""
1201,kij_tmszpl,227,rus,rs,Rus,rus_brc_kij_pod,0,28.524229359565,48.5461841977478,""
1201,kij_ttls,,rus,rs,Rus,rus_brc_kij_pod,0,,,""
1201,kij_trstnc,228,rus,rs,Rus,rus_brc_kij_pod,0,29.2333333333333,48.5166666666667,""
1201,kij_tlczyn,229,rus,rs,Rus,rus_brc_kij_pod,0,28.8586292078969,48.6639806931607,""
1201,kij_tr,230,rus,rs,Rus,rus_brc_kij_pod,0,,,""
1201,kij_tywrw,231,rus,rs,Rus,rus_brc_kij_pod,0,28.5244842256295,49.0061465955078,""
1201,kij_mn,232,rus,rs,Rus,rus_brc_kij_pod,0,30.2097103404636,48.7494787258727,""
