id,name_16c,year,livestock_horses,livestock_sheep
Czechow_wsl_snd,Czechów,1577,,""
Czechow_wsl_snd,Czechów,1577,,""
Czechow_wsl_snd,Czechów,1577,,""
Czechow_wsl_snd,Czechów,1577,,""
Czechow_wsl_snd,Czechów,1577,,""
Czechow_wsl_snd,Czechów,1577,,""
Czechow_wsl_snd,Czechów,1577,,""
Czechow_wsl_snd,Czechów,1577,,""
Czechow_wsl_snd,Czechów,1577,,""
Czechow_wsl_snd,Czechów,1577,,""
Czechow_wsl_snd,Czechów,1577,,""
Gotartowice_wsl_snd,Gotartowice,1577,,""
Stawiany_wsl_snd,Stawiany,1577,,""
Zydow_wsl_snd,Żydów,1577,,""
Chwalowice_wsl_snd,Chwałowice,1577,,""
Wola_zydowska_wsl_snd,Wola Żydowska,1577,,""
Goluchow_wsl_snd,Gołuchów,1577,,""
Wola_Goluchowska_wsl_snd,Wola Gołuchowska,1577,,""
Lipnik_wsl_snd,Lipnik,1577,,""
Ogledowek_wsl_snd,Oględówek,1577,,""
Umianowice_wsl_snd,Umianowice,1577,,""
Chroscice_wsl_snd,Chróścice,1577,,""
Sarbkow_wsl_snd,Sarbków,1577,,""
Bogucice_wsl_snd,Bogucice,1577,,""
Marzecin_wsl_snd,Marzęcin,1577,,""
Pasczorka_wsl_snd,Pasczorka,1577,,""
Szczepiec_wsl_snd,Szczepiec,1577,,""
Ruda_Seliga_wsl_snd,Ruda Seliga,1577,,""
Brzescie_wsl_snd,Brzeście,1577,,""
Podleze_wsl_snd,Podłęże,1577,,""
Koporynia_wsl_snd,Koporynia,1577,,""
Skowronno_wsl_snd,Skowronno,1577,,""
Gumienice_wsl_snd,Gumienice,1577,,""
Kobylniki_wsl_snd,Kobylniki,1577,,""
Krepice_wsl_snd,Krępice,1577,,""
Ciuslice_wsl_snd,Ciuślice,1577,,""
Ciuslice_wsl_snd,Ciuślice,1577,,""
Kamyszow_wsl_snd,Kamyszów,1577,,""
Podgaje_wsl_snd,Podgaje,1577,,""
Zamoscie_wsl_snd,Zamoście,1577,,""
Sokolniki_wsl_snd,Sokolniki,1577,,""
Drozejowice_wsl_snd,Drożejowice,1577,,""
Jakubowice_wsl_snd,Jakubowice,1577,,""
