,Kahal,name,pepole,childs,,,,
v,Miasto Halicz: bi Żydzi,Bołszów,7,,,,,
v,Miasto Halicz: bi Żydzi,Korostowice,2,1,,,,
v,Miasto Halicz: bi Żydzi,Stasiowa Wola,2,1,,,,
v,Miasto Halicz: bi Żydzi,Miasteczko Kąkolniki,10,3,,,,
v,Miasto Halicz: bi Żydzi,Jabłonów,2,1,,,,
v,Miasto Halicz: bi Żydzi,Chochonów,2,1,,,,
v,Miasto Halicz: bi Żydzi,Zagórze,7,1,,,,
v,Miasto Halicz: bi Żydzi,Betiatyn,2,1,,,,
v,Miasto Halicz: bi Żydzi,Bybło,5,1,,,,
v,Miasto Halicz: bi Żydzi,Międzyhorce,4,,,,,
v,Miasto Halicz: bi Żydzi,Meducha część Kąkolnicka,4,,,,,
v,Miasto Halicz: bi Żydzi,JMP Choy-,,,,,,
v,Miasto Halicz: bi Żydzi,nowskiego,5,,,,,
v,Miasto Halicz: bi Żydzi,Siemiakowce,2,1,,,,
v,Miasto Halicz: bi Żydzi,Tustan,5,1,,,,
v,Miasto Halicz: bi Żydzi,Dubowce,3,,,,,
v,Miasto Halicz: bi Żydzi,Karczma nad przewozem,,,,,,
v,Miasto Halicz: bi Żydzi,halickiem,5,,,,,
v,Summa,,365,37,,,,
v,Miasto Monasterzyska,,686,42,,,,
v,Miasto Monasterzyska,rżyska,79,12,,,,
v,Miasto Monasterzyska,Jezierzany,4,,,,,
v,Miasto Monasterzyska,Wierzbiatyn,5,,,,,
v,Miasto Monasterzyska,Czechów,3,,,,,
v,Miasto Monasterzyska,Wiczulki,5,,,,,
v,Miasto Monasterzyska,Jarchorów,5,10,,,,
v,Miasto Monasterzyska,Słobudka Nowa,11,,,,,
v,Miasto Monasterzyska,Szweyków,8,11,,,,
v,Miasto Monasterzyska,Czeremchów,5,,,,,
v,Miasto Monasterzyska,Hohocze,5,1,,,,
v,Miasto Monasterzyska,Zastawce,4,,,,,
v,Miasto Monasterzyska,Dobrowody,8,1,,,,
v,Miasto Monasterzyska,Kowalówka,7,,,,,
v,Miasto Monasterzyska,Sawałuski,6,,,,,
v,Miasto Monasterzyska,Olesza,4,,,,,
v,Miasto Monasterzyska,Holihrady,7,,,,,
v,Miasto Monasterzyska,Ostra,13,1,,,,
v,Miasto Monasterzyska,Ciepatyn,4,,,,,
v,Miasto Monasterzyska,Hryhorów •,3,,,,,
v,Miasto Monasterzyska,,877,60,,,,
v,Miasto Tłumacz,,351,21,,,,
v,Miasto Tłumacz,Polayce,8,,,,,
v,Miasto Tłumacz,Oliska,8,1,,,,
v,Miasto Tłumacz,Hryniowce,17,,,,,
v,Miasto Tłumacz,Kurów,10,1,,,,
v,Miasto Tłumacz,Kutyska,3,,,,,
v,Miasto Tłumacz,Przybyło w,6,,,,,
v,Miasto Tłumacz,Nadomana,5,,,,,
v,Miasto Tłumacz,Jezierzany,6,,,,,
v,Miasto Tłumacz,Pruszka,6,1,,,,
v,Miasto Tłumacz,Miasteczko Chocimierz,4,,,,,
v,Miasto Tłumacz,Kolince,5,,,,,
v,Miasto Tłumacz,Bratkowice,2,1,,,,
v,Miasto Tłumacz,Dolina,10,,,,,
v,Miasto Tłumacz,Kamieniec,13,1,,,,
v,Miasto Tłumacz,Tarnawica,7,,,,,
v,Miasto Tłumacz,Purniki,5,1,,,,
v,Miasto Tłumacz,Bortniki,22,,,,,
,Summa,,493,,,,,
v,Miasto Kałusz,,1087,60,,,,
v,Miasto Kałusz,Wisłowa,9,1,,,,
v,Miasto Kałusz,Inysłów,13,1,,,,
v,Miasto Kałusz,Rypianka,4,1,,,,
v,Miasto Kałusz,Jaworówka,4,,,,,
v,Miasto Kałusz,Zawoy,10,,,,,
v,Miasto Kałusz,Grabówka,4,,,,,
v,Miasto Kałusz,Uhrynów Stary,10,,,,,
v,Miasto Kałusz,Średni,6,,,,,
v,Miasto Kałusz,Petranka,24,,,,,
v,Miasto Kałusz,Krasne,9,,,,,
v,Miasto Kałusz,Niebytów,9,1,,,,
v,Miasto Kałusz,Śliwki,12,1,,,,
v,Miasto Kałusz,Jasień,9,,,,,
v,Miasto Kałusz,Przysłup,8,1,,,,
v,Miasto Kałusz,Ildziane,8,,,,,
v,Miasto Kałusz,Kamień,11,,,,,
v,Miasto Kałusz,Perłohy,9,,,,,
v,Miasto Kałusz,Nowica,15,,,,,
v,Miasto Kałusz,Podmichale królewskie,20,,,,,
v,Miasto Kałusz,Dubrowlany,6,,,,,
v,Miasto Kałusz,"Dołhe ,",7,,,,,
v,Miasto Kałusz,Puyło,20,2,,,,
v,Miasto Kałusz,Siewka,7,1,,,,
v,Miasto Kałusz,Kropiwnik,22,2,,,,
