name,table,community,community_code,land,table_title,table_abbr,voivodeship,index,potential,year,value,villages_value,near_value,geometry
miedzyrzecz_podlaski,0100,miedzyrzecz_podlaski,mdzyrzczpdlsk,Autonomous,Exterritorial urban communities ,ext,pdl,pdl_mdzyrzcz_pdlsk,600,1733,1218,0,0,2536420.13256192|6797290.30143852
miedzyrzecz_podlaski,0100,miedzyrzecz_podlaski,mdzyrzczpdlsk,Autonomous,Exterritorial urban communities ,ext,pdl,pdl_mdzyrzcz_pdlsk,600,1734,1218,0,0,2536420.13256192|6797290.30143852
miedzyrzecz_podlaski,0100,miedzyrzecz_podlaski,mdzyrzczpdlsk,Autonomous,Exterritorial urban communities ,ext,pdl,pdl_mdzyrzcz_pdlsk,600,1736,1200,0,0,2536420.13256192|6797290.30143852
miedzyrzecz_podlaski,0100,miedzyrzecz_podlaski,mdzyrzczpdlsk,Autonomous,Exterritorial urban communities ,ext,pdl,pdl_mdzyrzcz_pdlsk,600,1744,1200,0,0,2536420.13256192|6797290.30143852
miedzyrzecz_podlaski,0100,miedzyrzecz_podlaski,mdzyrzczpdlsk,Autonomous,Exterritorial urban communities ,ext,pdl,pdl_mdzyrzcz_pdlsk,600,1745,1200,0,0,2536420.13256192|6797290.30143852
miedzyrzecz_podlaski,0100,miedzyrzecz_podlaski,mdzyrzczpdlsk,Autonomous,Exterritorial urban communities ,ext,pdl,pdl_mdzyrzcz_pdlsk,600,1748,1663,0,0,2536420.13256192|6797290.30143852
miedzyrzecz_podlaski,0100,miedzyrzecz_podlaski,mdzyrzczpdlsk,Autonomous,Exterritorial urban communities ,ext,pdl,pdl_mdzyrzcz_pdlsk,600,1753,400,0,0,2536420.13256192|6797290.30143852
miedzyrzecz_podlaski,0100,miedzyrzecz_podlaski,mdzyrzczpdlsk,Autonomous,Exterritorial urban communities ,ext,pdl,pdl_mdzyrzcz_pdlsk,600,1754,600,0,0,2536420.13256192|6797290.30143852
miedzyrzecz_podlaski,0100,miedzyrzecz_podlaski,mdzyrzczpdlsk,Autonomous,Exterritorial urban communities ,ext,pdl,pdl_mdzyrzcz_pdlsk,600,1755,200,0,0,2536420.13256192|6797290.30143852
miedzyrzecz_podlaski,0100,miedzyrzecz_podlaski,mdzyrzczpdlsk,Autonomous,Exterritorial urban communities ,ext,pdl,pdl_mdzyrzcz_pdlsk,600,1760,800,0,0,2536420.13256192|6797290.30143852
miedzyrzecz_podlaski,0100,miedzyrzecz_podlaski,mdzyrzczpdlsk,Autonomous,Exterritorial urban communities ,ext,pdl,pdl_mdzyrzcz_pdlsk,600,1761,600,0,0,2536420.13256192|6797290.30143852
miedzyrzecz_podlaski,0100,miedzyrzecz_podlaski,mdzyrzczpdlsk,Autonomous,Exterritorial urban communities ,ext,pdl,pdl_mdzyrzcz_pdlsk,600,1762,600,0,0,2536420.13256192|6797290.30143852
miedzyrzecz_podlaski,0100,miedzyrzecz_podlaski,mdzyrzczpdlsk,Autonomous,Exterritorial urban communities ,ext,pdl,pdl_mdzyrzcz_pdlsk,600,1764,600,0,0,2536420.13256192|6797290.30143852
poznan,0100,poznan,pznn,Autonomous,Exterritorial urban communities ,ext,pzn,pzn_pznn,3417,1717,3322,0,0,1885272.47259427|6874565.89600669
poznan,0100,poznan,pznn,Autonomous,Exterritorial urban communities ,ext,pzn,pzn_pznn,3417,1718,3322,0,0,1885272.47259427|6874565.89600669
poznan,0100,poznan,pznn,Autonomous,Exterritorial urban communities ,ext,pzn,pzn_pznn,3417,1721,2067,0,0,1885272.47259427|6874565.89600669
poznan,0100,poznan,pznn,Autonomous,Exterritorial urban communities ,ext,pzn,pzn_pznn,3417,1722,2068,0,0,1885272.47259427|6874565.89600669
poznan,0100,poznan,pznn,Autonomous,Exterritorial urban communities ,ext,pzn,pzn_pznn,3417,1723,2536,0,0,1885272.47259427|6874565.89600669
poznan,0100,poznan,pznn,Autonomous,Exterritorial urban communities ,ext,pzn,pzn_pznn,3417,1727,1760,0,0,1885272.47259427|6874565.89600669
poznan,0100,poznan,pznn,Autonomous,Exterritorial urban communities ,ext,pzn,pzn_pznn,3417,1739,2358,0,0,1885272.47259427|6874565.89600669
poznan,0100,poznan,pznn,Autonomous,Exterritorial urban communities ,ext,pzn,pzn_pznn,3417,1743,3340,0,0,1885272.47259427|6874565.89600669
